Date,Price,Open,High,Low,Vol.,Change %
12/10/2024,163.45,167,168.45,161.44,2.75M,-2.20%
12/09/2024,167.12,170.01,171.98,166.24,3.59M,-4.04%
12/06/2024,174.16,175,177.25,173.05,3.75M,-0.21%
12/05/2024,174.52,173.8,176.9,170.87,5.27M,0.43%
12/04/2024,173.77,178.16,179,172.8,4.62M,-2.51%
12/03/2024,178.24,182.45,182.45,175.11,3.40M,-2.30%
12/02/2024,182.44,182.35,184.79,177.75,3.55M,0.80%
11/29/2024,181,178,182.9,172.5,4.00M,2.01%
11/28/2024,177.44,175.26,182.4,171.75,9.94M,4.40%
11/27/2024,169.96,159.97,169.96,158.5,16.44M,10.00%
11/26/2024,154.51,147.74,161.9,144.1,15.66M,4.98%
11/25/2024,147.18,145.2,154.69,145,8.33M,1.71%
11/22/2024,144.7,135.5,148.39,135.5,19.34M,7.26%
11/21/2024,134.9,134.1,135.9,133.51,2.98M,0.60%
11/20/2024,134.09,138.5,140.98,133.51,4.07M,-3.02%
11/19/2024,138.27,138.75,141,137.6,1.97M,-0.06%
11/18/2024,138.35,134.2,139.6,132.05,2.79M,3.35%
11/15/2024,133.87,131,135,131,2.92M,2.56%
11/14/2024,130.53,125.5,130.99,125.25,2.09M,4.13%
11/13/2024,125.35,125.5,125.9,124.4,1.15M,-0.11%
11/12/2024,125.49,128,128,125,1.04M,-1.53%
11/11/2024,127.44,130.94,130.94,127.01,1.13M,-1.17%
11/08/2024,128.95,129.51,130.94,128.46,1.17M,-0.49%
11/07/2024,129.58,131.75,132.4,129,1.42M,-1.40%
11/06/2024,131.42,130.44,132.01,129.51,518.23K,0.75%
11/05/2024,130.44,131.51,131.51,129.76,702.16K,-1.20%
11/04/2024,132.02,133.9,134.99,131.5,443.20K,-1.43%
11/01/2024,133.93,130.49,134.9,130.05,942.35K,2.43%
10/31/2024,130.75,137,137,130,3.43M,-4.55%
10/30/2024,136.98,140,140.5,136.1,619.33K,-2.00%
10/29/2024,139.77,139.4,141.85,139.01,1.47M,-0.06%
10/28/2024,139.86,138.5,141.5,138.5,3.45M,0.97%
10/25/2024,138.51,137.15,139.74,137.15,3.28M,0.15%
10/24/2024,138.3,136.97,139.89,135,4.24M,-0.50%
10/23/2024,139,135.92,139.32,134.5,3.98M,2.70%
10/22/2024,135.35,135.2,138,135.11,1.43M,0.25%
10/21/2024,135.01,134.02,135.48,133.5,1.07M,0.75%
10/18/2024,134,132.26,134.95,131.6,1.81M,-0.07%
10/17/2024,134.1,135.75,135.75,132.25,1.65M,-0.30%
10/16/2024,134.5,137.95,139.5,134.01,2.45M,-2.17%
10/15/2024,137.49,135.25,137.98,134.61,674.83K,1.73%
10/14/2024,135.15,136.8,137,135,1.37M,-0.15%
10/11/2024,135.35,137.5,138.9,134.79,4.28M,-1.56%
10/10/2024,137.5,140.94,140.94,136.66,2.86M,-1.79%
10/09/2024,140,140.11,144,139,5.63M,-0.35%
10/08/2024,140.49,128.75,140.6,128.75,10.53M,8.32%
10/07/2024,129.7,129,129.81,128.25,2.49M,0.15%
10/04/2024,129.5,128.27,131.25,127.6,2.13M,1.07%
10/03/2024,128.13,126.05,129.8,125.57,7.03M,1.00%
10/02/2024,126.86,124.75,127,123.1,4.59M,1.50%
10/01/2024,124.99,127.01,128.87,124.1,1.36M,-1.66%
