Price,Open,High,Low,Vol.,Change %,Day Change,Daily Return,MA_5,MA_10,MA_20,Trend
125.35,125.5,125.9,124.4,1150000.0,-0.11,1.5,-0.11952191235060214,133.274,138.175,156.1925,0
125.49,128.0,128.0,125.0,1040000.0,-1.53,3.0,-1.960937500000004,130.71800000000002,135.27299999999997,154.29450000000003,0
127.44,130.94,130.94,127.01,1130000.0,-1.17,3.9299999999999926,-2.6729799908354974,128.536,133.299,152.3105,0
128.95,129.51,130.94,128.46,1170000.0,-0.49,2.4799999999999898,-0.43239904254497896,127.55199999999999,131.724,150.05,0
129.58,131.75,132.4,129.0,1420000.0,-1.4,3.4000000000000057,-1.6470588235294021,127.36200000000001,131.19199999999998,147.803,0
131.42,130.44,132.01,129.51,518230.0,0.75,2.5,0.7513032812020775,128.576,130.925,145.6855,0
130.44,131.51,131.51,129.76,702160.0,-1.2,1.75,-0.8136263402022609,129.56599999999997,130.142,143.2955,0
132.02,133.9,134.99,131.5,443200.0,-1.43,3.490000000000009,-1.4040328603435366,130.48200000000003,129.50900000000001,140.77450000000002,0
133.93,130.49,134.9,130.05,942350.0,2.43,4.849999999999994,2.6362173346616578,131.478,129.51500000000001,138.421,0
130.75,137.0,137.0,130.0,3430000.0,-4.55,7.0,-4.562043795620438,131.712,129.537,136.0865,0
136.98,140.0,140.5,136.1,619330.0,-2.0,4.400000000000006,-2.1571428571428646,132.824,130.7,134.4375,1
139.77,139.4,141.85,139.01,1470000.0,-0.06,2.8400000000000034,0.26542324246772203,134.69,132.12800000000001,133.70049999999998,1
139.86,138.5,141.5,138.5,3450000.0,0.97,3.0,0.9819494584837644,136.25799999999998,133.37,133.3345,1
138.51,137.15,139.74,137.15,3280000.0,0.15,2.5900000000000034,0.9916150200510282,137.174,134.326,133.025,1
138.3,136.97,139.89,135.0,4240000.0,-0.5,4.889999999999986,0.9710155508505603,138.68400000000003,135.198,133.195,1
139.0,135.92,139.32,134.5,3980000.0,2.7,4.819999999999993,2.266038846380233,139.08800000000002,135.956,133.4405,1
135.35,135.2,138.0,135.11,1430000.0,0.25,2.8899999999999864,0.11094674556213438,138.204,136.447,133.2945,1
135.01,134.02,135.48,133.5,1070000.0,0.75,1.9799999999999898,0.7386957170571412,137.234,136.746,133.1275,1
134.0,132.26,134.95,131.6,1810000.0,-0.07,3.3499999999999943,1.3155905035536135,136.33200000000002,136.753,133.13400000000001,1
134.1,135.75,135.75,132.25,1650000.0,-0.3,3.5,-1.2154696132596727,135.492,137.088,133.3125,1
134.5,137.95,139.5,134.01,2450000.0,-2.17,5.490000000000009,-2.5009061254077483,134.59199999999998,136.84,133.77,1
137.49,135.25,137.98,134.61,674830.0,1.73,3.369999999999976,1.6561922365988975,135.01999999999998,136.612,134.37,1
135.15,136.8,137.0,135.0,1370000.0,-0.15,2.0,-1.206140350877197,135.048,136.14100000000002,134.75549999999998,1
135.35,137.5,138.9,134.79,4280000.0,-1.56,4.110000000000014,-1.5636363636363677,135.31799999999998,135.825,135.0755,1
137.5,140.94,140.94,136.66,2860000.0,-1.79,4.280000000000001,-2.4407549311763854,135.998,135.745,135.47150000000002,1
140.0,140.11,144.0,139.0,5630000.0,-0.35,5.0,-0.07850974234530986,137.098,135.845,135.90050000000002,1
140.49,128.75,140.6,128.75,10530000.0,8.32,11.849999999999994,9.118446601941754,137.698,136.35899999999998,136.403,1
129.7,129.0,129.81,128.25,2490000.0,0.15,1.5600000000000023,0.5426356589147199,136.608,135.828,136.28699999999998,0
129.5,128.27,131.25,127.6,2130000.0,1.07,3.6500000000000057,0.9589147891166988,135.43800000000002,135.378,136.0655,0
128.13,126.05,129.8,125.57,7030000.0,1.0,4.230000000000018,1.6501388337961114,133.56400000000002,134.781,135.9345,0
126.86,124.75,127.0,123.1,4590000.0,1.5,3.9000000000000057,1.6913827655310618,130.936,134.017,135.4285,0
124.99,127.01,128.87,124.1,1360000.0,-1.66,4.77000000000001,-1.5904259507125502,127.83600000000001,132.767,134.6895,0
127.1,128.5,128.89,123.6,2430000.0,-0.39,5.289999999999992,-1.089494163424129,127.31599999999999,131.962,134.0515,0
127.6,128.0,129.65,127.6,2540000.0,-0.7,2.0500000000000114,-0.31250000000000444,126.93599999999999,131.18699999999998,133.506,0
128.5,130.0,132.4,128.15,4350000.0,-0.77,4.25,-1.153846153846154,127.00999999999999,130.28699999999998,133.01600000000002,0
129.5,128.99,130.2,127.05,3700000.0,0.93,3.1499999999999915,0.39537948678191404,127.53800000000001,129.237,132.541,0
128.31,128.95,129.4,126.28,4260000.0,-0.15,3.1200000000000045,-0.4963164017060771,128.202,128.019,132.18900000000002,0
128.5,128.0,129.38,126.41,6580000.0,0.51,2.969999999999999,0.390625,128.482,127.899,131.8635,0
127.85,119.25,129.97,119.25,16170000.0,6.64,10.719999999999999,7.211740041928715,128.53199999999998,127.734,131.55599999999998,0
119.89,116.7,122.1,116.01,3630000.0,3.25,6.089999999999989,2.7335047129391583,126.81000000000002,126.91000000000001,130.8455,0
116.12,115.55,116.9,115.55,904470.0,-0.03,1.3500000000000085,0.49329294677629376,124.13399999999999,125.83599999999998,129.9265,0
116.16,114.9,116.45,114.55,238670.0,0.91,1.9000000000000057,1.0966057441253185,121.704,124.953,128.85999999999999,0
115.11,117.0,117.48,114.8,745390.0,-0.98,2.680000000000007,-1.6153846153846159,119.026,123.75399999999999,127.85800000000002,0
116.25,117.25,117.4,115.0,1190000.0,-0.38,2.4000000000000057,-0.8528784648187633,116.70599999999999,122.619,126.90299999999999,0
116.69,119.49,119.5,116.06,1840000.0,-1.53,3.4399999999999977,-2.343292325717631,116.06599999999999,121.43800000000002,125.8625,0
118.5,116.1,120.4,116.1,2110000.0,0.85,4.300000000000011,2.067183462532305,116.542,120.33800000000001,124.7875,0
117.5,119.9,119.9,116.0,1670000.0,-2.0,3.9000000000000057,-2.001668056713933,116.80999999999999,119.25699999999999,123.638,0
119.9,118.5,119.95,118.03,985100.0,0.97,1.9200000000000017,1.181434599156123,117.768,118.397,123.148,0
118.75,120.45,120.45,118.0,1560000.0,-1.04,2.450000000000003,-1.4113740141137425,118.268,117.48700000000001,122.6105,0
120.0,120.0,120.65,119.4,471360.0,0.29,1.25,0.0,118.92999999999999,117.498,122.204,0
119.65,119.5,120.0,118.5,1820000.0,-2.33,1.5,0.125523012552306,119.16,117.851,121.84349999999999,0
122.5,125.55,129.1,121.99,4120000.0,-1.75,7.109999999999999,-2.429311031461567,120.16,118.48499999999999,121.71900000000001,1
124.68,126.78,128.8,124.6,2260000.0,-1.45,4.200000000000017,-1.6564126833885424,121.11600000000001,119.44200000000001,121.598,1
126.52,128.0,128.98,126.0,1470000.0,-0.89,2.9799999999999898,-1.156250000000003,122.67,120.46900000000001,121.54400000000001,1
127.66,129.0,129.0,126.5,514560.0,-0.62,2.5,-1.0387596899224834,124.202,121.566,121.502,1
128.46,129.01,129.98,127.9,635730.0,-0.8,2.079999999999984,-0.4263235408107767,125.96399999999998,122.56199999999998,121.45,1
129.5,134.12,134.95,128.5,3040000.0,-3.44,6.449999999999989,-3.444676409185807,127.36399999999999,123.76199999999999,121.5095,1
134.11,134.6,134.6,133.0,515670.0,0.23,1.5999999999999943,-0.3640416047548148,129.25,125.18299999999999,121.79,1
133.8,136.0,136.0,132.51,842190.0,-1.62,3.490000000000009,-1.617647058823521,130.706,126.68799999999999,122.0875,1
136.0,136.95,137.48,135.05,403560.0,-0.4,2.4299999999999784,-0.6936838262139384,132.374,128.28799999999998,122.893,1
136.55,137.99,138.0,136.01,186620.0,-0.33,1.990000000000009,-1.043553880715992,133.99200000000002,129.978,123.9145,1
137.0,137.45,138.0,134.6,702140.0,-0.36,3.4000000000000057,-0.3273917788286567,135.49200000000002,131.42800000000003,124.9565,1
137.5,138.48,138.94,136.52,181840.0,-0.05,2.4199999999999875,-0.7076834199884386,136.17,132.70999999999998,126.076,1
137.57,137.0,138.95,136.0,428030.0,0.67,2.9499999999999886,0.416058394160579,136.924,133.815,127.14199999999998,1
136.66,137.0,137.9,135.61,479120.0,0.12,2.289999999999992,-0.24817518248175433,137.05599999999998,134.71499999999997,128.1405,1
136.5,136.14,138.3,136.14,643070.0,-1.09,2.160000000000025,0.2644336712208122,137.046,135.519,129.0405,1
138.0,136.25,138.0,135.12,1070000.0,1.09,2.8799999999999955,1.2844036697247707,137.246,136.369,130.06550000000001,1
136.51,133.85,136.74,132.6,3190000.0,1.86,4.140000000000015,1.9872992155397808,137.048,136.60899999999998,130.89600000000002,1
134.02,131.17,134.95,131.17,1310000.0,0.77,3.780000000000001,2.172752916063142,136.33800000000002,136.631,131.6595,1
133.0,132.87,135.2,131.11,2050000.0,0.91,4.089999999999975,0.09783999397907388,135.606,136.331,132.3095,1
131.8,135.0,135.5,130.53,1830000.0,-3.06,4.969999999999999,-2.370370370370362,134.666,135.856,132.917,0
135.96,134.5,137.5,132.0,4090000.0,2.23,5.5,1.0855018587360654,134.258,135.752,133.59,1
133.0,131.86,133.68,131.0,1580000.0,1.79,2.680000000000007,0.864553314121027,133.556,135.302,134.006,0
130.66,133.63,136.9,130.3,2350000.0,-2.48,6.599999999999994,-2.2225548155354327,132.884,134.611,134.213,0
133.98,137.98,138.8,133.12,1600000.0,-1.81,5.680000000000007,-2.898970865342804,133.08,134.34300000000002,134.529,0
136.45,135.79,138.69,135.55,1840000.0,-0.4,3.1399999999999864,0.48604462773399854,134.01,134.33800000000002,134.92849999999999,1
137.0,139.7,139.7,136.0,675440.0,-1.08,3.6999999999999886,-1.9327129563349956,134.218,134.238,135.30349999999999,1
138.5,142.0,142.0,138.5,2700000.0,-2.12,3.5,-2.464788732394366,135.31799999999998,134.437,135.523,1
141.5,141.6,143.39,141.0,988990.0,0.21,2.3899999999999864,-0.07062146892654966,137.486,135.185,135.908,1
141.2,143.48,145.0,140.1,2320000.0,-0.92,4.900000000000006,-1.5890716476163933,138.93,136.005,136.168,1
142.51,141.64,144.25,137.5,5100000.0,1.29,6.75,0.61423326743858,140.142,137.076,136.46599999999998,1
140.7,148.25,148.25,140.1,4110000.0,-4.8,8.150000000000006,-5.092748735244527,140.882,137.54999999999998,136.651,1
147.8,148.9,149.79,146.6,3010000.0,-0.54,3.1899999999999977,-0.7387508394895865,142.74200000000002,139.03,137.166,1
148.6,148.0,153.26,148.0,7830000.0,0.88,5.259999999999991,0.40540540540540154,144.16199999999998,140.824,137.71750000000003,1
147.31,139.99,148.1,137.49,13200000.0,3.82,10.609999999999985,5.228944924637469,145.384,142.15699999999998,138.25,1
141.89,137.9,141.97,134.4,4110000.0,3.19,7.569999999999993,2.893401015228412,145.26,142.701,138.5195,1
137.5,141.49,141.49,137.0,1930000.0,-1.72,4.490000000000009,-2.8199872782528863,144.62,142.751,138.4945,0
139.9,143.11,145.9,139.0,3230000.0,-2.47,6.900000000000006,-2.2430298371881823,143.04,142.891,138.66400000000002,1
143.44,140.0,145.1,137.51,5280000.0,3.42,7.590000000000003,2.4571428571428555,142.00799999999998,143.08499999999998,139.13500000000002,1
138.7,132.5,140.75,130.3,10030000.0,4.77,10.449999999999989,4.67924528301886,140.286,142.83499999999998,139.42000000000002,0
132.39,132.49,134.9,127.0,7000000.0,-0.46,7.900000000000006,-0.07547739452035832,138.386,141.82299999999998,139.4495,0
133.0,126.75,133.75,126.5,7320000.0,5.56,7.25,4.930966469428008,137.486,141.053,139.30149999999998,0
126.0,125.99,126.8,125.43,2220000.0,0.84,1.3699999999999903,0.007937137868088829,134.706,138.873,138.95149999999998,0
124.95,123.99,125.7,122.52,1960000.0,0.77,3.180000000000007,0.7742559883861666,131.00799999999998,136.50799999999998,138.666,0
124.0,124.6,124.6,121.6,3460000.0,0.32,3.0,-0.4815409309791287,128.068,134.177,138.167,0
123.6,125.0,126.0,123.25,1150000.0,0.24,2.75,-1.1200000000000045,126.31000000000002,132.348,137.52450000000002,0
123.3,126.95,126.95,123.25,2150000.0,-1.75,3.700000000000003,-2.8751476959432893,124.37,130.928,136.8395,0
125.5,126.8,128.3,125.5,2580000.0,-1.17,2.8000000000000114,-1.0252365930599348,124.27000000000001,129.488,136.1895,0
126.99,125.8,129.98,125.8,5390000.0,0.7,4.179999999999993,0.9459459459459441,124.678,127.843,135.464,0
126.11,123.5,127.97,122.4,12900000.0,3.44,5.569999999999993,2.1133603238866394,125.1,126.58399999999999,134.7095,0
121.92,113.35,121.92,112.06,20940000.0,7.89,9.86,7.560652845169836,124.76400000000001,125.537,133.68,0
113.0,110.0,113.25,108.9,5190000.0,3.01,4.349999999999994,2.727272727272727,122.704,123.537,132.295,0
109.7,105.0,110.4,104.8,5600000.0,4.48,5.6000000000000085,4.476190476190479,119.54400000000001,121.90700000000001,130.39000000000001,0
105.0,104.07,106.44,104.06,391280.0,-0.01,2.3799999999999955,0.8936292879792513,115.146,119.912,128.20999999999998,0
105.01,105.48,107.25,104.5,619880.0,-0.23,2.75,-0.4455821008722022,110.926,118.013,126.09499999999998,0
105.25,106.48,107.46,105.1,1050000.0,-1.16,2.3599999999999994,-1.1551465063861794,107.59200000000001,116.178,124.26299999999999,0
106.48,108.82,109.5,104.12,2530000.0,-2.22,5.3799999999999955,-2.150340011027375,106.28800000000001,114.49600000000001,122.71199999999999,0
